ID_data;UF;Bioma;Area_desmatada_hec
246;AC;Amazônia Legal;2074194.28
246;AP;Amazônia Legal;300224.71
246;AM;Amazônia Legal;3509103.62
246;MA;Amazônia Legal;10792084.54
246;MT;Amazônia Legal;20828885.18
246;PA;Amazônia Legal;25390530.66
246;RO;Amazônia Legal;8605776.5
246;RR;Amazônia Legal;977165.84
246;TO;Amazônia Legal;3023086.37
259;AC;Amazônia Legal;20024
259;AP;Amazônia Legal;2478.37
259;AM;Amazônia Legal;48097.35
259;MA;Amazônia Legal;29739.34
259;MT;Amazônia Legal;110654.39
259;PA;Amazônia Legal;210086.32
259;RO;Amazônia Legal;96388.66
259;RR;Amazônia Legal;14841.41
259;TO;Amazônia Legal;7711.6
272;AC;Amazônia Legal;34860.95
272;AP;Amazônia Legal;2910.54
272;AM;Amazônia Legal;55282.43
272;MA;Amazônia Legal;28636.54
272;MT;Amazônia Legal;110620.99
272;PA;Amazônia Legal;179688.99
272;RO;Amazônia Legal;76130.2
272;RR;Amazônia Legal;18905.89
272;TO;Amazônia Legal;4506.4
285;AC;Amazônia Legal;22300.37
285;AP;Amazônia Legal;1910.93
285;AM;Amazônia Legal;68735.93
285;MA;Amazônia Legal;21741.8
285;MT;Amazônia Legal;149552.3
285;PA;Amazônia Legal;230509.33
285;RO;Amazônia Legal;96072.15
285;RR;Amazônia Legal;15429.36
285;TO;Amazônia Legal;5530.11
207;AL;Caatinga;2877.130951
207;BA;Caatinga;61872.16951
207;CE;Caatinga;59130.915610000004
207;MA;Caatinga;2591.143128
207;MG;Caatinga;6134.212018
207;PB;Caatinga;18780.15359
207;PE;Caatinga;23024.34719
207;PI;Caatinga;46489.451610000004
207;RN;Caatinga;7448.573115
207;SE;Caatinga;2730.000365
207;BA;Cerrado;64809.704529999995
233;BA;Cerrado;100317.6627
233;DF;Cerrado;225.419675
233;GO;Cerrado;64071.68095
233;MA;Cerrado;131059.3171
233;MT;Cerrado;79791.47857
233;MS;Cerrado;31178.61371
233;MG;Cerrado;72058.74166
116;PA;Cerrado;808.22556
233;PR;Cerrado;207.151568
233;PI;Cerrado;129227.0467
220;RO;Cerrado;5.7244209999999995
233;SP;Cerrado;487.14045300000004
233;TO;Cerrado;116038.8512
194;AL;Mata Atlântica;41019.11826
207;BA;Mata Atlântica;6582.300805
207;ES;Mata Atlântica;206.711242
207;GO;Mata Atlântica;158.600108
207;MS;Mata Atlântica;972.9288619999999
207;MG;Mata Atlântica;11575.78193
207;PR;Mata Atlântica;1408.334595
207;PE;Mata Atlântica;28.874019
207;RJ;Mata Atlântica;36.669652
207;RS;Mata Atlântica;726.677722
207;SC;Mata Atlântica;1761.465825
207;SE;Mata Atlântica;79.018838
207;SP;Mata Atlântica;1334.245048
207;RS;Pampa;4593.250683
207;MT;Pantanal;8921.559148
207;MS;Pantanal;9925.748323
