Bioma;Estado;Numero_de_registros;Periodo;Area_desmatada_recalculada_pela_conica_hec
Caatinga;Alagoas;1;2009;2877,130951
Caatinga;Bahia;1;2009;61872,16951
Caatinga;Ceará;1;2009;59130,91561
Caatinga;Maranhão;1;2009;2591,143128
Caatinga;Minas Gerais;1;2009;6134,212018
Caatinga;Paraíba;1;2009;18780,15359
Caatinga;Pernambuco;1;2009;23024,34719
Caatinga;Piauí;1;2009;46489,45161
Caatinga;Rio Grande do Norte;1;2009;7448,573115
Caatinga;Sergipe;1;2009;2730,000365
Cerrado;Bahia;1;2009;64809,70453
Cerrado;Bahia;1;2011;100317,6627
Cerrado;Distrito Federal;1;2011;225,419675
Cerrado;Goiás;1;2011;64071,68095
Cerrado;Maranhão;1;2011;131059,3171
Cerrado;Mato Grosso;1;2011;79791,47857
Cerrado;Mato Grosso do Sul;1;2011;31178,61371
Cerrado;Minas Gerais;1;2011;72058,74166
Cerrado;Pará;1;2002;808,22556
Cerrado;Paraná;1;2011;207,151568
Cerrado;Piauí;1;2011;129227,0467
Cerrado;Rondônia;1;2010;5,724421
Cerrado;São Paulo;1;2011;487,140453
Cerrado;Tocantins;1;2011;116038,8512
Mata Atlântica;Alagoas;1;2008;41019,11826
Mata Atlântica;Bahia;1;2009;6582,300805
Mata Atlântica;Espírito Santo;1;2009;206,711242
Mata Atlântica;Goiás;1;2009;158,600108
Mata Atlântica;Mato Grosso do Sul;1;2009;972,928862
Mata Atlântica;Minas Gerais;1;2009;11575,78193
Mata Atlântica;Paraná;1;2009;1408,334595
Mata Atlântica;Pernambuco;1;2009;28,874019
Mata Atlântica;Rio de Janeiro;1;2009;36,669652
Mata Atlântica;Rio Grande do Sul;1;2009;726,677722
Mata Atlântica;Santa Catarina;1;2009;1761,465825
Mata Atlântica;Sergipe;1;2009;79,018838
Mata Atlântica;São Paulo;1;2009;1334,245048
Pampa;Rio Grande do Sul;1;2009;4593,250683
Pantanal;Mato Grosso;1;2009;8921,559148
Pantanal;Mato Grosso do Sul;1;2009;9925,748323
