ID_data;UF;Especie;Area
168;MG;Eucalipto;1181429.0
168;SP;Eucalipto;915841.0
168;MS;Eucalipto;119319.0
168;BA;Eucalipto;540172.0
168;RS;Eucalipto;184245.0
168;ES;Eucalipto;207800.0
168;MA;Eucalipto;93285.0
168;PR;Eucalipto;121908.0
168;MT;Eucalipto;113770.0
168;PA;Eucalipto;115806.0
168;GO;Eucalipto;98765.0
168;TO;Eucalipto;13901.0
168;SC;Eucalipto;70341.0
168;AP;Eucalipto;58473.0
168;PI;Eucalipto;27491.0
181;MG;Eucalipto;1218212.0
181;SP;Eucalipto;911908.0
181;MS;Eucalipto;207687.0
181;BA;Eucalipto;550127.0
181;RS;Eucalipto;222245.0
181;ES;Eucalipto;208819.0
181;MA;Eucalipto;106802.0
181;PR;Eucalipto;123070.0
181;MT;Eucalipto;114854.0
181;PA;Eucalipto;126286.0
181;GO;Eucalipto;102032.0
181;TO;Eucalipto;21655.0
181;SC;Eucalipto;74008.0
181;AP;Eucalipto;58874.0
181;PI;Eucalipto;31588.0
194;MG;Eucalipto;1278210.0
194;SP;Eucalipto;1001080.0
194;MS;Eucalipto;265250.0
194;BA;Eucalipto;587610.0
194;RS;Eucalipto;277320.0
194;ES;Eucalipto;210410.0
194;MA;Eucalipto;111120.0
194;PR;Eucalipto;142430.0
194;MT;Eucalipto;132922.0
194;PA;Eucalipto;136290.0
194;GO;Eucalipto;113177.0
194;TO;Eucalipto;31920.0
194;SC;Eucalipto;77440.0
194;AP;Eucalipto;63310.0
194;PI;Eucalipto;27580.0
207;MG;Eucalipto;1300000.0
207;SP;Eucalipto;1029670.0
207;MS;Eucalipto;290890.0
207;BA;Eucalipto;628440.0
207;RS;Eucalipto;271980.0
207;ES;Eucalipto;204570.0
207;MA;Eucalipto;137360.0
207;PR;Eucalipto;157920.0
207;MT;Eucalipto;147378.0
207;PA;Eucalipto;139720.0
207;GO;Eucalipto;115286.0
207;TO;Eucalipto;44310.0
207;SC;Eucalipto;100140.0
207;AP;Eucalipto;62880.0
207;PI;Eucalipto;28380.0
220;MG;Eucalipto;1400000.0
220;SP;Eucalipto;1044813.0
220;MS;Eucalipto;378195.0
220;BA;Eucalipto;631464.0
220;RS;Eucalipto;273042.0
220;ES;Eucalipto;203885.0
220;PR;Eucalipto;161422.0
220;MA;Eucalipto;151403.0
220;MT;Eucalipto;150646.0
220;PA;Eucalipto;148656.0
220;GO;Eucalipto;116439.0
220;TO;Eucalipto;47542.0
220;SC;Eucalipto;102399.0
220;AP;Eucalipto;49369.0
220;PI;Eucalipto;37025.0
233;MG;Eucalipto;1401787.0
233;SP;Eucalipto;1031677.0
233;MS;Eucalipto;475528.0
233;BA;Eucalipto;607440.0
233;RS;Eucalipto;280198.0
233;ES;Eucalipto;197512.0
233;PR;Eucalipto;188153.0
233;MA;Eucalipto;165717.0
233;MT;Eucalipto;175592.0
233;PA;Eucalipto;151378.0
233;GO;Eucalipto;118636.0
233;TO;Eucalipto;65502.0
233;SC;Eucalipto;104686.0
233;AP;Eucalipto;50099.0
233;PI;Eucalipto;26493.0
246;MG;Eucalipto;1438971.0
246;SP;Eucalipto;1041695.0
246;MS;Eucalipto;587310.0
246;BA;Eucalipto;605464.0
246;RS;Eucalipto;284701.0
246;ES;Eucalipto;203349.0
246;PR;Eucalipto;197835.0
246;MA;Eucalipto;173324.0
246;MT;Eucalipto;184628.0
246;PA;Eucalipto;159657.0
246;GO;Eucalipto;115567.0
246;TO;Eucalipto;109000.0
246;SC;Eucalipto;106588.0
246;AP;Eucalipto;49506.0
246;PI;Eucalipto;27730.0
259;MG;Eucalipto;1404429.0
259;SP;Eucalipto;1010444.0
259;MS;Eucalipto;699128.0
259;BA;Eucalipto;623971.0
259;RS;Eucalipto;316446.0
259;ES;Eucalipto;221559.0
259;PR;Eucalipto;200473.0
259;MA;Eucalipto;209249.0
259;MT;Eucalipto;187090.0
259;PA;Eucalipto;159657.0
259;GO;Eucalipto;121375.0
259;TO;Eucalipto;111131.0
259;SC;Eucalipto;107345.0
259;AP;Eucalipto;57169.0
259;PI;Eucalipto;28053.0
272;MG;Eucalipto;1400232.0
