Tipo de produto extrativo;Tipo de Uso
Açaí (fruto);Alimentícios
Castanha de cajú;Alimentícios
Castanha-do-Pará;Alimentícios
Erva-mate;Alimentícios
Mangaba;Alimentícios
Palmito;Alimentícios
Pequi (fruto);Alimentícios
Pinhão;Alimentícios
Umbu (fruto);Alimentícios
Outros alimentícios;Alimentícios
Ipecacuanha ou poaia (raiz);Aromáticos, medicinais, tóxicos e corantes
Jaborandi (folha);Aromáticos, medicinais, tóxicos e corantes
Urucum (semente);Aromáticos, medicinais, tóxicos e corantes
Outros aromáticos, medicinais, tóxicos e corantes;Aromáticos, medicinais, tóxicos e corantes
Caucho;Borrachas
Hevea (látex coagulado);Borrachas
Hevea (látex líquido);Borrachas
Carnaúba (cera);Ceras
Carnaúba (pó);Ceras
Outras ceras;Ceras
Buriti;Fibras
Carnaúba;Fibras
Piaçava;Fibras
Outras fibras;Fibras
Balata;Gomas não elásticas
Maçaranduba;Gomas não elásticas
Sorva;Gomas não elásticas
Carvão vegetal (extrativismo);Madeira para Combustível
Lenha (extrativismo);Madeira para Combustível
Madeira em tora (extrativismo);Madeira para Indústria
Babaçu (amêndoa);Oleaginosos
Copaíba (óleo);Oleaginosos
Cumaru (amêndoa);Oleaginosos
Licuri (coquilho);Oleaginosos
Oiticica (semente);Oleaginosos
Pequi (amêndoa);Oleaginosos
Tucum (amêndoa);Oleaginosos
Outros oleaginosos;Oleaginosos
Pinheiro brasileiro (nó de pinho);Nó de pinho
Pinheiro brasileiro (árvores abatidas);Árvores abatidas
Pinheiro brasileiro (madeira em tora);Madeira para Indústria - subdivisão
Angico (casca);Tanantes
Barbatimão (casca);Tanantes
Outros tanantes;Tanantes
Carvão vegetal (silvicultura);Madeira para Combustível
Carvão vegetal de eucalipto (silvicultura);Madeira para Combustível - Subdivisão
Carvão vegetal de pinus (silvicultura);Madeira para Combustível - Subdivisão
Carvão vegetal de outras espécies (silvicultura);Madeira para Combustível - Subdivisão
Lenha (silvicultura);Madeira para Combustível
Lenha de eucalipto (silvicultura);Madeira para Combustível - Subdivisão
Lenha de pinus (silvicultura);Madeira para Combustível - Subdivisão
Lenha de outras espécies (silvicultura);Madeira para Combustível - Subdivisão
Madeira em tora (silvicultura);Madeira para Indústria
Madeira em tora para papel e celulose (silvicultura);Madeira para Indústria - subdivisão
Madeira em tora de eucalipto para papel e celulose (silvicultura);Madeira para Indústria - Subdivisão II
Madeira em tora de pinus para papel e celulose (silvicultura);Madeira para Indústria - Subdivisão II
Madeira em tora de outras espécies para papel e celulose (silvicultura);Madeira para Indústria - Subdivisão II
Madeira em tora para outras finalidades (silvicultura);Madeira para Indústria - subdivisão
Madeira em tora de eucalipto para outras finalidades (silvicultura);Madeira para Indústria - Subdivisão II
Madeira em tora de pinus para outras finalidades (silvicultura);Madeira para Indústria - Subdivisão II
Madeira em tora de outras espécies para outras finalidades (silvicultura);Madeira para Indústria - Subdivisão II
Acácia-negra (casca);Outros produtos da silvicultura
Eucalipto (folha);Outros produtos da silvicultura
Resina;Outros produtos da silvicultura
